Date,Temperature,Humidity,Caterpillars,Mosca_Minatrice,Note
2025-12-29,6,70,12,0,Afternoon
2025-12-30,-2,93,8,0,Morning
2025-12-31,5,80,8,0,Afternoon
2026-01-01,-1,87,1,0,Morning
2026-01-01,5,79,3,0,Afternoon
2026-01-02,2,91,0,0,Morning
2026-01-02,5,79,0,0,Afternoon
2026-01-03,1,91,0,0,Morning
2026-01-03,4,87,0,0,Afternoon
2026-01-04,4,88,2,0,Afternoon
2026-01-05,2,72,2,0,Morning
2026-01-05,4,58,0,0,Afternoon
2026-01-06,0,95,0,0,"Morning:Snow all day"
2026-01-06,1,96,0,0,"Afternoon:Snow all day"
2026-01-07,-1,93,0,0,"Morning:Snow cover on ground"
2026-01-07,3,85,0,0,"Afternoon:Snow cover on ground"
2026-01-08,-2,75,0,0,"Morning:Snow cover on ground"
2026-01-08,3,68,0,0,"Afternoon:Snow cover on ground"
2026-01-09,0,85,0,0,"Morning:Snow cover on ground"
2026-01-09,3,79,0,0,"Afternoon:Snow cover on ground"
2026-01-10,2,83,0,0,"Morning:Snow cover on ground"
2026-01-10,6,71,0,0,"Afternoon:Snow cover on ground"
2026-01-11,1,74,0,0,"Morning:Snow melted"
2026-01-11,9,47,0,0,"Afternoon:Snow melted"
2026-01-12,0,78,0,0,Morning
2026-01-12,5,67,0,0,Afternoon
2026-01-13,2,85,0,0,Morning
2026-01-13,6,64,0,0,Afternoon
2026-01-14,3,83,0,0,Morning
2026-01-14,6,82,0,0,Afternoon
2026-01-15,4,97,0,0,Morning
2026-01-15,6,93,0,0,Afternoon
2026-01-16,6,96,0,0,Morning
2026-01-16,8,88,0,0,Afternoon
2026-01-17,6,97,0,0,Morning
2026-01-17,8,94,0,0,Afternoon
2026-01-18,6,95,0,0,Morning
2026-01-18,8,92,0,0,Afternoon
2026-01-19,4,88,0,0,Morning
2026-01-19,7,83,0,0,Afternoon
2026-01-20,3,85,0,0,Morning
2026-01-20,6,78,0,0,Afternoon
2026-01-21,1,90,0,0,Morning
2026-01-21,5,72,0,0,Afternoon
2026-01-22,2,85,0,0,Morning
2026-01-22,7,72,0,0,Afternoon
2026-01-23,3,93,0,0,Morning
2026-01-23,5,91,0,0,Afternoon
2026-01-24,4,97,0,0,Morning
2026-01-24,6,91,0,0,Afternoon
2026-01-25,5,98,0,0,Morning
2026-01-25,6,94,0,0,Afternoon
2026-01-26,4,95,0,0,Morning
2026-01-26,8,82,0,0,Afternoon
2026-01-27,4,86,0,0,Morning
2026-01-27,10,75,0,0,Afternoon
2026-01-28,7,96,0,0,Morning
2026-01-28,8,93,0,0,Afternoon
2026-01-29,5,95,0,0,Morning
2026-01-29,9,80,0,0,Afternoon
2026-01-30,3,97,0,0,Morning
2026-01-30,7,86,0,0,Afternoon
2026-01-31,4,97,0,0,Morning
2026-01-31,6,93,0,0,Afternoon
2026-02-01,5,92,0,0,Morning
2026-02-01,9,77,0,0,Afternoon
2026-02-02,2,92,0,0,Morning
2026-02-02,8,77,0,0,Afternoon
2026-02-03,5,98,0,0,Morning
2026-02-03,7,95,0,0,Afternoon
2026-02-04,4,97,0,0,Morning
2026-02-04,5,96,0,0,Afternoon
2026-02-05,6,85,0,0,Morning
2026-02-05,13,70,0,0,Afternoon
2026-02-06,7,98,0,0,Morning
2026-02-06,11,89,0,0,Afternoon
2026-02-07,6,97,0,0,Morning
2026-02-07,12,83,0,0,Afternoon
2026-02-08,9,92,0,0,Morning
2026-02-08,12,80,0,0,Afternoon
2026-02-09,8,96,0,0,Morning
2026-02-09,9,95,0,0,Afternoon
2026-02-10,6,94,0,0,Morning
2026-02-10,11,82,0,0,Afternoon
2026-02-11,7,98,0,0,Morning
2026-02-11,11,88,0,0,Afternoon
2026-02-12,9,93,0,0,Morning
2026-02-12,11,84,0,0,Afternoon
2026-02-13,9,79,0,0,Morning
2026-02-13,15,61,0,0,Afternoon
2026-02-14,9,97,0,0,Morning
2026-02-14,11,88,0,0,Afternoon
2026-02-15,9,94,0,0,Morning
2026-02-15,15,54,0,0,Afternoon
2026-02-16,7,83,0,0,Morning
2026-02-16,12,72,0,0,Afternoon
2026-02-17,9,64,0,0,Morning
2026-02-17,15,39,0,0,Afternoon
2026-02-18,6,58,0,0,Morning
2026-02-18,13,59,0,0,Afternoon
2026-02-19,7,80,0,0,Morning
2026-02-19,13,66,0,0,Afternoon
2026-02-20,8,82,0,0,Morning
2026-02-20,12,68,0,0,Afternoon
2026-02-21,8,74,0,0,Morning
2026-02-21,15,52,0,0,Afternoon
2026-02-22,8,76,0,0,Morning
2026-02-22,14,63,0,0,Afternoon
2026-02-23,8,87,0,0,Morning
2026-02-23,15,67,0,0,Afternoon
2026-02-24,10,86,0,0,Morning
2026-02-24,15,74,0,0,Afternoon
2026-02-25,11,89,0,0,Morning
2026-02-25,15,75,0,0,Afternoon
2026-02-26,12,84,0,0,Morning
2026-02-26,15,69,0,0,Afternoon
2026-02-27,9,90,0,0,Morning
2026-02-27,17,70,0,0,Afternoon
2026-02-28,11,82,0,0,Morning
2026-02-28,16,65,0,0,Afternoon
2026-03-01,10,90,0,0,Morning
2026-03-01,14,83,0,0,Afternoon
2026-03-02,9,93,0,0,Morning
2026-03-02,14,75,0,0,Afternoon
2026-03-03,10,92,0,0,Morning
2026-03-03,13,76,0,0,Afternoon
2026-03-04,8,90,0,0,Morning
2026-03-04,13,80,0,0,"Afternoon:Semina Sovescio EXTRA (Luna Calante): Mix Azoto/Biocida."
2026-03-05,9,90,0,0,"Morning:Applicazione di pacciamatura in paglia per proteggere il suolo dal freddo (temperature esterne tra gli 8°C e i 13°C) e preservare la vita microbica."
2026-03-05,11,85,0,0,Afternoon
2026-03-06,10,87,0,0,Morning
2026-03-06,13,70,0,0,Afternoon
2026-03-07,9,83,0,0,Morning
2026-03-07,15,62,0,0,Afternoon
2026-03-08,8,89,0,0,Morning
2026-03-08,14,76,0,0,Afternoon
2026-03-09,10,89,0,0,Morning
2026-03-09,17,54,0,0,Afternoon
2026-03-10,10,87,0,0,Morning
2026-03-10,16,67,0,0,Afternoon
2026-03-11,9,88,0,0,Morning
2026-03-11,16,67,0,0,Afternoon
2026-03-12,12,90,0,0,Morning
2026-03-12,15,72,0,0,Afternoon
2026-03-13,11,90,0,0,Morning
2026-03-13,17,64,0,0,Afternoon
2026-03-14,14,65,0,0,Morning
2026-03-14,16,55,0,0,Afternoon
2026-03-15,12,79,0,0,Morning
2026-03-15,16,65,0,0,Afternoon
2026-03-16,11,84,0,0,Morning
2026-03-16,15,43,0,0,Afternoon
2026-03-17,11,83,0,0,Morning
2026-03-17,16,38,0,0,Afternoon
2026-03-18,9,69,0,0,Morning
2026-03-18,11,64,0,0,Afternoon
2026-03-19,12,58,0,0,Morning
2026-03-19,16,33,0,0,Afternoon
2026-03-20,9,67,0,0,Morning
2026-03-20,15,37,0,0,Afternoon
2026-03-21,11,53,0,0,Morning
2026-03-21,15,37,0,0,Afternoon
2026-03-22,10,65,0,0,Morning
2026-03-22,13,51,0,0,Afternoon
2026-03-23,11,66,0,0,Morning
2026-03-23,16,43,0,0,Afternoon
2026-03-24,12,63,0,0,Morning
2026-03-24,18,43,0,0,Afternoon
2026-03-25,16,46,0,0,Morning
2026-03-25,19,41,0,0,Afternoon
2026-03-26,4,92,0,0,Morning
2026-03-26,9,75,0,0,Afternoon
2026-03-27,7,54,0,0,Morning
2026-03-27,13,48,0,0,Afternoon
2026-03-28,10,51,0,0,Morning
2026-03-28,16,36,0,0,Afternoon
2026-03-29,8,72,0,0,Morning
2026-03-29,15,49,0,0,Afternoon
2026-03-30,9,75,0,0,Morning
2026-03-30,16,60,0,0,Afternoon
2026-03-31,9,78,0,0,Morning
2026-03-31,14,36,0,0,Afternoon
2026-04-01,8,57,0,0,Morning
2026-04-01,13,47,0,0,Afternoon
2026-04-02,10,60,0,0,Morning
2026-04-02,15,45,0,0,Afternoon
2026-04-03,12,59,0,0,Morning
2026-04-03,20,35,0,0,Afternoon
2026-04-04,12,56,0,0,Morning
2026-04-04,22,36,0,0,Afternoon
2026-04-05,13,54,0,0,Morning
2026-04-05,23,35,0,0,Afternoon
2026-04-06,15,51,0,0,Morning
2026-04-06,24,43,0,0,Afternoon
2026-04-07,17,62,0,0,Morning 
2026-04-07,24,46,0,0,Afternoon
2026-04-08,17,60,0,0,Morning
2026-04-08,23,52,0,0,Afternoon
2026-04-09,14,72,0,0,Morning
2026-04-09,21,51,0,0,Afternoon
2026-04-10,12,75,0,0,Morning
2026-04-10,20,57,0,0,Afternoon
2026-04-11,13,86,0,0,Morning
2026-04-11,20,63,0,0,Afternoon
2026-04-12,13,95,0,0,Morning
2026-04-12,16,84,0,0,Afternoon
2026-04-13,15,92,0,0,Morning
2026-04-13,16,89,0,0,Afternoon
2026-04-14,13,94,0,0,Morning
2026-04-14,14,91,0,0,Afternoon
2026-04-15,13,96,0,0,Morning
2026-04-15,16,86,0,0,Afternoon
2026-04-16,17,84,0,0,Morning
2026-04-16,22,63,0,0,Afternoon
2026-04-17,16,85,0,0,"Morning:Falciatura parziale del sovescio (fioritura gialla già avanzata)."
2026-04-17,23,57,0,0,Afternoon
2026-04-18,17,70,0,0,Morning
2026-04-18,24,44,0,0,Afternoon
2026-04-19,17,73,0,0,Morning
2026-04-19,23,54,0,0,Afternoon
2026-04-20,14,85,0,0,Morning
2026-04-20,22,60,0,0,Afternoon
2026-04-21,13,94,0,0,Morning
2026-04-21,16,80,0,0,Afternoon
2026-04-22,13,75,0,0,Morning
2026-04-22,17,53,0,0,Afternoon
2026-04-23,13,61,0,0,Morning
2026-04-23,20,36,0,0,Afternoon
2026-04-24,16,46,0,0,Morning
2026-04-24,24,34,0,0,Afternoon
2026-04-25,17,51,0,0,Morning
2026-04-25,25,36,0,0,Afternoon
2026-04-26,17,64,0,0,Morning
2026-04-26,25,46,0,0,Afternoon
2026-04-27,17,73,0,0,Morning
2026-04-27,25,48,0,0,Afternoon
2026-04-28,17,65,0,0,Morning
2026-04-28,24,47,0,0,Afternoon
2026-04-29,16,83,0,0,"Morning.Trapianto della prima generazione di piantine di zucchine."
2026-04-29,23,55,0,0,Afternoon
2026-04-30,15,73,0,0,Morning
2026-04-30,19,34,0,0,Afternoon
2026-05-01,12,61,0,0,Morning
2026-05-01,19,30,0,0,Afternoon 
2026-05-02,16,51,0,0,Morning
2026-05-02,23,34,0,0,Afternoon
2026-05-03,19,53,0,0,Morning
2026-05-03,26,33,0,0,Afternoon
2026-05-04,19,48,0,0,Morning
2026-05-04,25,34,0,0,Afternoon
2026-05-05,15,92,0,0,Morning
2026-05-05,20,79,0,0,Afternoon
2026-05-06,15,95,0,0,Morning
2026-05-06,19,78,0,0,Afternoon
2026-05-07,17,70,0,0,Morning
2026-05-07,23,55,0,0,Afternoon
2026-05-08,16,82,0,0,Morning
2026-05-08,21,58,0,0,Afternoon
2026-05-09,18,84,0,0,Morning 
2026-05-09,24,46,0,0,Afternoon
2026-05-10,17,88,0,0,Morning
2026-05-10,20,69,0,0,Afternoon
2026-05-11,18,83,0,0,Morning
