Data,Temperatura,Umidita,Meteo,Formiche,Boccioli,ExG_Fogliame,ExG_Bocciolo,Afidi,Gravita_Afidi,Olio_di_Neem,Concimazione,Irrigazione,Note
2026-03-01,10,90,Cloudy,0,0,NaN,NaN,0,0,,yes,Yes,Trattamento iniziale del suolo: inserito biochar (da condotti)　ferro (chiodi) stallatico e bucce di banana fisse.
2026-03-02,9,93,Sunny,0,0,NaN,NaN,0,0,,,,
2026-03-03,10,92,Cloudy,0,0,NaN,NaN,0,0,yes,,,
2026-03-04,8,93,Cloudy,0,0,NaN,NaN,0,0,,,,Semina mix di sovescio a 5 specie (Luna Calante): azione azotofissatrice biocida (nematodi) e miglioramento della struttura del suolo (radici per ammorbidire la terra dura).
2026-03-05,9,90,Cloudy,0,0,NaN,NaN,0,0,,,,
2026-03-06,10,87,Cloudy,1,0,NaN,NaN,0,0,,,,
2026-03-07,9,83,Sunny,0,2,NaN,NaN,0,0,,,,
2026-03-08,8,89,Sunny,0,2,NaN,NaN,2,Low,,,,
2026-03-09,10,89,Sunny,0,2,NaN,NaN,3,Low,yes,,,
2026-03-10,11,87,Cloudy,0,2,0.346,NaN,0,0,,yes,,Inizio della diagnosi di crescita quantitativa e non distruttiva tramite analisi RGB ad alta risoluzione con SONY.
2026-03-11,9,88,Cloudy,0,4,0.345,NaN,0,0,,,,
2026-03-12,12,90,Cloudy,0,5,0.374,NaN,0,0,,,,
2026-03-13,11,90,Cloudy,0,6,0.397,NaN,0,0,,,,
2026-03-14,14,65,Sunny,0,7,0.345,NaN,0,0,,,,
2026-03-15,12,79,Sunny,0,8,0.366,NaN,0,0,,,,
2026-03-16,11,84,Sunny,0,8,0.352,NaN,0,0,,,,
2026-03-17,11,83,Cloudy,0,10,0.369,NaN,0,0,,,,
2026-03-18,9,69,Rainy,0,10,0.374,NaN,0,0,,,,
2026-03-19,12,58,Sunny,0,12,0.580,NaN,0,0,,,,
2026-03-20,9,67,Sunny,0,12,0.598,NaN,0,0,,,,
2026-03-21,11,53,Sunny,0,12,0.576,NaN,0,0,Yes,,,
2026-03-22,10,65,Sunny,0,17,0.571,NaN,0,0,,,,
2026-03-23,11,66,Sunny,0,17,0.584,NaN,0,0,,,Yes,
2026-03-24,12,63,Sunny,0,20,0.622,NaN,0,0,,,,
2026-03-25,16,46,Sunny,0,28,0.641,NaN,0,0,,,,
2026-03-26,5,92,Heavy Rainy,0,27,0.345,NaN,0,0,,,,Heavy Rainy day. ExG dropped sharply from 0.641 (yesterday) to 0.345. Likely due to low lighting conditions.Il calo dell'ExG in questa data è dovuto a un fattore temporaneo (meteo/stress)　ma la ripresa è stata immediata grazie alla salute del suolo.
2026-03-27,7,54,Sunny,0,28,0.613,NaN,0,0,,,,
2026-03-28,10,51,Sunny,0,28,0.656,NaN,0,0,,,,
2026-03-29,8,70,Cloudy,0,31,0.662,NaN,0,0,,,,
2026-03-30,9,75,Sunny,0,31,0.701,NaN,0,0,,,,
2026-03-31,9,78,Sunny,0,34,0.711,NaN,0,0,,,Yes,
2026-04-01,8,57,Cloudy,0,34,0.356,NaN,0,0,,,,Heavy cloud cover. ExG dropped sharply from 0.711 (yesterday) to 0.356 today. Likely due to poor lighting conditions.Il calo dell'ExG in questa data è dovuto a un fattore temporaneo (meteo/stress)　ma la ripresa è stata immediata grazie alla salute del suolo.
2026-04-02,10,60,Cloudy,0,34,0.673,NaN,0,0,,,,
2026-04-03,12,59,Sunny,0,34,0.725,NaN,0,0,,,Yes,
2026-04-04,12,56,Sunny,0,39,0.736,NaN,3,Low,,,,ExG record (0.736): la pianta è carica di energia grazie al mio metodo (chiodi vecchi. carbonella e stallatico sotto il sovescio). Salute eccezionale. i boccioli aumentano di volume.
2026-04-05,13,54,Sunny,0,49,0.736,NaN,3,Low,,,Yes,
2026-04-06,15,51,Sunny,0,49,0.707,NaN,2,Low,,,,
2026-04-07,17,62,Sunny,0,69,0.731,NaN,20,Hight,Yes,,Yes,
2026-04-08,17,60,Sunny,0,69,0.727,NaN,0,0,,Yes,Yes,Inizio fioritura anticipata (2 boccioli) : Questo successo è dovuto al mio metodo: chiodi vecchi per il ferro carbonella e concime stallatico granulare. protetti da un manto di sovescio. Risultato: salute eccezionale e fioritura precoce mentre i boccioli continuano a formarsi.
2026-04-09,14,72,Cloudy,0,69,0.662,NaN,0,0,,,,Photo taken 1.5 hours later than usual. Sun position changed causing shade. ExG dropped from 0.727 (yesterday) to 0.662.
2026-04-10,12,75,Cloudy,0,78,0.682,NaN,0,0,,,,
2026-04-11,13,86,Cloudy,0,78,0.712,NaN,25,Hight,,,,
2026-04-12,13,95,Cloudy,0,78,0.595,NaN,0,0,Yes,,,The ExG suddenly dropped due to heavy cloud cover and rain. Likely because of reduced sunlight.
2026-04-13,15,92,Heavy Rainy,0,78,0.529,NaN,0,0,,,,It's raining heavily. Low clouds are covering the sky.
2026-04-14,13,94,Heavy Rainy,0,78,0.623,NaN,0,0,,,,
2026-04-15,13,96,Heavy Cloudy,0,76,0.533,NaN,0,0,,,,Forte vento ha spezzato rami con 2 boccioli. ExG basso causa maltempo e ombra pomeridiana (ore 15:43).
2026-04-16,17,84,Sunny,5,78,0.606,NaN,0,0,,,,Inizio fioritura (Prima rosa!); tagliati i giovani rametti del sovescio e ridistribuiti alla base come pacciamatura organica per nutrire il suolo nel giorno della prima fioritura.
2026-04-17,16,85,Sunny,8,83,0.682,NaN,10,low,Yes,,,Ritorno di afidi dopo la pioggia. Osservati 5-6 formiche: monitoraggio della simbiosi.
2026-04-18,17,70,Sunny,0,90,0.650,0.521,0,0,,,,Notata minore presenza di formiche rispetto agli anni precedenti. Sembra che il tappeto di sovescio stia equilibrando l'ecosistema.
2026-04-19,17,73,Sunny,0,95,0.678,0.530,0,0,,,,Un bocciolo perso. Danneggiato dalle formiche: rimosso perché non sarebbe fiorito bene.
2026-04-20,14,85,Sunny,0,98,0.656,0.597,10,Low,Yes,,Yes,
2026-04-21,13,94,Grande pioggia,0,98,0.448,0.540,0,NaN,0,0,,
2026-04-22,13,75,Sunny,0,104,0.734,0.624,0,0,0,0,0,Oggi la prima rosa è appassita naturalmente dopo circa 12 giorni di splendida fioritura.Questo conferma la grande resistenza della pianta.nutrita con il mio metodo (ferro e carbone).Il ciclo continua mentre altri boccioli si aprono.
2026-04-23,13,61,Sunny,0,104,0.736,0.629,0,0,0,0,0,
2026-04-24,16,46,Sunny,0,104,0.738,0.635,0,0,0,0,0,
2026-04-25,17,51,Sunny,0,103,0.747,0.638,0,0,0,0,Yes,Ho scelto di non recidere i fiori: hanno vissuto la loro vita sulla pianta per purificare l'aria e la terra. Ora i petali tornano al suolo per nutrire il futuro.
2026-04-26,17,64,Sunny,0,102,0.743,0.605,0,0,0,0,0,I petali caduti sono ricchi di antociani e minerali; agiscono come integratori naturali per i microbi del suolo nutrendo la terra in un ciclo perfetto.
2026-04-27,17,73,Sunny,0,102,0.740,0.645,0,0,0,0,Yes,
2026-04-28,17,65,Cloudy,0,100,0.656,0.611,0,0,0,0,0,
2026-04-29,16,83,Cloudy,0,100,0.645,0.621,0,0,0,0,0,
2026-04-30,15,73,Sunny,0,97,0.629,0.630,0,0,0,0,Yes,
2026-05-01,12,61,Sunny,0,90,0.630,0.594,0,0,0,0,0,
